#Wavelength Flux FluxErr FluxGeo
 .29372  9.3613  0.0862  9.5955
 .29379  9.3744  0.0865  9.4871
 .29386  9.2023  0.0857  9.4595
 .29392  9.1719  0.0850  9.4488
 .29399  9.2037  0.0852  9.3041
 .29406  9.2542  0.0852  9.4849
 .29413  9.2718  0.0852  9.5155
 .29420  9.2266  0.0851  9.4049
 .29426  9.2500  0.0850  9.4923
 .29433  9.2259  0.0851  9.4486
 .29440  9.2530  0.0858  9.4758
 .29447  9.2341  0.0738  9.4445
 .29454  9.2585  0.0833  9.5152
 .29461  9.2983  0.0834  9.5329
 .29468  9.1969  0.0826  9.3547
 .29474  9.2465  0.0834  9.4695
 .29481  9.3582  0.0822  9.1408
 .29488  9.2567  0.0818  9.2576
 .29495  9.1933  0.0804  9.2845
 .29502  9.2706  0.0811  9.3185
 .29509  9.3264  0.0820  9.3006
 .29516  9.3367  0.0821  9.3901
 .29522  9.2916  0.0816  9.3533
 .29529  9.2641  0.0811  9.2586
 .29536  9.2147  0.0804  9.1933
 .29543  9.1961  0.0799  9.2494
 .29550  9.1633  0.0795  9.2477
 .29557  9.1033  0.0794  9.1222
 .29564  9.1786  0.0798  9.2469
 .29571  9.2078  0.0802  9.3040
 .29578  9.1913  0.0802  9.2756
 .29584  9.1537  0.0799  9.2547
 .29591  9.2185  0.0797  9.3337
 .29598  9.1184  0.0779  9.3186
 .29605  9.0913  0.0781  9.2744
 .29612  9.1441  0.0783  9.2943
 .29619  9.1915  0.0786  9.3413
 .29626  9.1585  0.0784  9.2681
 .29633  9.0998  0.0779  9.1415
 .29639  9.0370  0.0775  9.1565
 .29646  9.0402  0.0776  9.1233
 .29653  8.9815  0.0770  9.0839
 .29660  8.9847  0.0770  9.1404
 .29667  9.1150  0.0775  9.2340
 .29674  9.2489  0.0779  9.4829
 .29681  9.1167  0.0795  9.3564
 .29688  9.1357  0.0794  9.5142
 .29695  9.0426  0.0783  8.8611
 .29702  9.0178  0.0744  9.2194
 .29709  9.1035  0.0746  9.2710
 .29715  9.0868  0.0747  9.2060
 .29722  9.1153  0.0765  9.3013
 .29729  9.1465  0.0764  9.2869
 .29736  9.1105  0.0762  9.2386
 .29743  9.0492  0.0759  9.1294
 .29750  9.0272  0.0758  9.0811
 .29757  8.9917  0.0759  9.0411
 .29764  8.9931  0.0755  9.1165
 .29771  9.0623  0.0758  9.1549
 .29778  9.0221  0.0755  8.5894
 .29785  8.9568  0.0748  8.7590
 .29791  8.9613  0.0747  8.7649
 .29798  8.9963  0.0746  8.7860
 .29805  9.0607  0.0750  8.7928
 .29812  9.1248  0.0752  8.8832
 .29819  8.9319  0.0744  8.6970
 .29826  8.9865  0.0747  8.7712
 .29833  9.0296  0.0747  8.7804
 .29840  8.7695  0.0722  8.8697
 .29847  8.8801  0.0730  8.8457
 .29854  8.6764  0.0722  8.6420
 .29861  8.7376  0.0722  8.6817
 .29868  8.7076  0.0721  8.5871
 .29875  8.6654  0.0718  8.5860
 .29882  8.6321  0.0717  8.4518
 .29889  8.6444  0.0717  8.5268
 .29896  8.5675  0.0714  8.4749
 .29903  8.6452  0.0720  8.4619
 .29909  8.7493  0.0724  8.5589
 .29916  8.6966  0.0721  8.5044
 .29924  8.6356  0.0717  8.3856
 .29930  8.6648  0.0717  8.5729
 .29937  8.6873  0.0717  8.6993
 .29944  8.6492  0.0718  8.5026
 .29951  8.5777  0.0716  8.2808
 .29958  8.5921  0.0714  8.3805
 .29965  8.5307  0.0709  8.4189
 .29972  8.5495  0.0709  8.3566
 .29979  8.4708  0.0706  8.1711
 .29986  8.5105  0.0706  8.3223
 .29993  8.5440  0.0706  8.3157
 .30000  8.5004  0.0705  8.3659
 .30007  8.5725  0.0706  8.4267
 .30014  8.6375  0.0710  8.4196
 .30021  8.5465  0.0706  8.3889
 .30028  8.5266  0.0706  8.3027
 .30035  8.5983  0.0708  8.4202
 .30042  8.6608  0.0708  8.5115
 .30049  8.6113  0.0709  8.5340
 .30056  8.6411  0.0712  8.5307
 .30063  8.6138  0.0711  8.3583
 .30070  8.5461  0.0708  8.3531
 .30077  8.5382  0.0704  8.3872
 .30084  8.4662  0.0701  8.2574
 .30091  8.4135  0.0698  8.1534
 .30098  8.4630  0.0701  8.2420
 .30105  8.4586  0.0703  8.2680
 .30112  8.4952  0.0703  7.9383
 .30119  8.4487  0.0694  8.1768
 .30126  8.3659  0.0688  8.0483
 .30133  8.3671  0.0687  8.1479
 .30140  8.3216  0.0685  8.1023
 .30147  8.4016  0.0686  8.1801
 .30154  8.3895  0.0684  8.1657
 .30161  8.3043  0.0683  8.0049
 .30168  8.3470  0.0685  8.0963
 .30175  8.3189  0.0686  7.9967
 .30182  8.3340  0.0685  7.9984
 .30189  8.3632  0.0685  8.0970
 .30196  8.3677  0.0683  8.0894
 .30203  8.4217  0.0684  8.1892
 .30210  8.4062  0.0682  8.1571
 .30217  8.3333  0.0679  8.0496
 .30224  8.2849  0.0676  8.0647
