Band,wavelength,efficiency
1,6.39925,0.137120306709487
1,6.4045,0.13768190887848
1,6.40975,0.139356255693544
1,6.415,0.142031633437217
1,6.42025,0.143133422206344
1,6.4255,0.141605854172447
1,6.43075,0.139486920244885
1,6.436,0.137000872628188
1,6.44125,0.136198986071489
1,6.4465,0.135517427201286
1,6.45175,0.134789686137197
1,6.457,0.135053665804239
1,6.46225,0.136249262551201
1,6.4675,0.137435814124091
1,6.47275,0.138685066161981
1,6.478,0.140697552544396
1,6.48325,0.142776785102127
1,6.4885,0.143745325789588
1,6.49375,0.143469562803914
1,6.499,0.142395992173525
1,6.50425,0.140597920303968
1,6.5095,0.138289747427196
1,6.51475,0.136804841706318
1,6.52,0.138086189403335
1,6.52525,0.140597846901549
1,6.5305,0.142988424973518
1,6.53575,0.143501650099765
1,6.541,0.144069358903135
1,6.54625,0.144345167393418
1,6.5515,0.144261544038369
1,6.55675,0.144069433373557
1,6.562,0.144613564561799
1,6.56725,0.145948682460411
1,6.5725,0.147245402452943
1,6.57775,0.147488439968958
1,6.583,0.146624845828835
1,6.58825,0.144593210192099
1,6.5935,0.142649913491117
1,6.59875,0.141951516774962
1,6.604,0.143126413902811
1,6.60925,0.145006184756648
1,6.6145,0.146468133086846
1,6.61975,0.14738701328371
1,6.625,0.148124958879893
1,6.63025,0.148596207071654
1,6.6355,0.149072084638687
1,6.64075,0.149503482298207
1,6.646,0.147634600940502
1,6.65125,0.145610465469605
1,6.6565,0.143071547261795
1,6.66175,0.141242428839023
1,6.667,0.14069210339086
1,6.67225,0.141795742711931
1,6.6775,0.143507490393402
1,6.68275,0.144470192502045
1,6.688,0.144849049071051
1,6.69325,0.14443150409002
1,6.6985,0.14430015678166
1,6.70375,0.144312988075057
1,6.709,0.144701123391935
1,6.71425,0.144734340393811
1,6.7195,0.144298779360868
1,6.72475,0.143411346184316
1,6.73,0.141099792946001
1,6.74,0.00000
2,6.55,0.00000
2,6.56,0.154392153065126
2,6.566,0.155293627847371
2,6.572,0.156006585792292
2,6.578,0.155854709901151
2,6.584,0.155184365317975
2,6.59,0.154286771717027
2,6.596,0.153592878445267
2,6.602,0.153303913254057
2,6.608,0.153788044175605
2,6.614,0.154527360993616
2,6.62,0.154962631029835
2,6.626,0.15553721911645
2,6.632,0.15638418165034
2,6.638,0.157095232249862
2,6.644,0.156533338305722
2,6.65,0.154851519903694
2,6.656,0.152724126636873
2,6.662,0.152190656012042
2,6.668,0.152448370715907
2,6.674,0.15322741414192
2,6.68,0.153558317150603
2,6.686,0.153230042715736
2,6.692,0.15274474136179
2,6.698,0.152695987808436
2,6.704,0.153229170753348
2,6.71,0.153779056609015
2,6.716,0.153490426895656
2,6.722,0.15276541216616
2,6.728,0.151601478170191
2,6.734,0.150554683748486
2,6.74,0.149851191294213
2,6.746,0.149555875176195
2,6.752,0.150046559942094
2,6.758,0.150388303820182
2,6.764,0.15047964182616
2,6.77,0.150879559010029
2,6.776,0.151326791258312
2,6.782,0.151742185000486
2,6.788,0.151531152302135
2,6.794,0.150676279270678
2,6.8,0.149928548005417
2,6.806,0.149548804901697
2,6.812,0.149426594952843
2,6.818,0.149242150161942
2,6.824,0.14882477121684
2,6.83,0.148122650318207
2,6.836,0.147536524453215
2,6.842,0.147476983373934
2,6.848,0.148526386159608
2,6.854,0.149370282963021
2,6.86,0.150221851820476
2,6.866,0.14895845042986
2,6.872,0.147896635650792
2,6.878,0.146921495225776
2,6.884,0.146584753861451
2,6.89,0.146067831795563
2,6.896,0.14554847020875
2,6.902,0.145224396004598
2,6.908,0.144899325772879
2,6.914,0.144463587059004
2,6.92,0.143953692813007
2,6.926,0.143618196250457
2,6.932,0.143431301125265
2,6.938,0.143760253073809
2,6.944,0.144361182207501
2,6.95,0.144749634348343
2,6.956,0.145037379846512
2,6.962,0.144458509586332
2,6.968,0.143971593782799
2,6.974,0.143551072981964
2,6.98,0.143374653890912
2,6.986,0.143168382824751
2,6.992,0.142999803847853
2,6.998,0.142788888873768
